,Unnamed: 0.1,Unnamed: 0,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,P1S,P2S,SGA,SGA1,RE,RE1,Unf_err_cnt,Unf_err_cnt1,STB,LTB,STH,LTH,STB1,LTB1,STH1,LTH1,Net-cnt,Net-sc-rate,Net-cnt1,Net-sc-rate1,BTS,BTS1,SD,SD1,SW,SW1,p1_momentum,p2_momentum
0,4660,6373,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:00:31,1,1,2,0,0,0.0,0.0,0,15,2,2,1,1,1,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092308422236983,13.208,4,0.4782608695652175,BC,NCTL,D,0.0666666666666666,0.0,0.5454545454545455,0.4545454545454545,0.0620404001135683,0.0,1.0,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.4,0.8532934131736527,0.0,0.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.9999999999999998,0.0,0.25,0.25,0.26375080756902763,1.0127712958888593
1,4661,6375,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:01:38,1,1,4,0,0,0.0,0.0,15,30,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2252165543792107,32.779,6,0.2173913043478261,B,NCTL,ND,0.1333333333333333,0.0,0.6363636363636365,0.3636363636363636,0.1349478588233323,0.0,1.0,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.4,0.8532934131736527,0.0,0.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.19340362024571478,0.9274175297136399
2,4662,6376,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:02:39,1,1,5,0,0,0.0,0.0,30,30,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179411405875096,2.376,1,0.5797101449275364,W,NCTL,ND,0.1333333333333333,0.0714285714285714,0.5454545454545455,0.4545454545454545,0.0300437883084578,0.0208724858705676,1.0,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.4,0.8532934131736527,0.0,0.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.9999999999999998,0.0,1.0,1.0,0.4851027814947361,1.2387656953414359
3,4663,6377,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:03:03,1,1,6,0,0,0.0,0.0,30,40,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4898263498217406,73.784,19,0.2318840579710146,W,NCTL,D,0.1333333333333333,0.1428571428571428,0.4545454545454546,0.5454545454545454,0.3825639374629545,0.5032427625397803,1.0,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6000000000000001,0.8562874251497007,0.0,0.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.9999999999999998,0.0,1.0,1.0,0.5020567512677871,1.2885887933732272
4,4664,6378,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:05:15,1,2,7,0,0,0.0,0.1666666666666666,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167143380010573,8.25,1,0.536231884057971,W,CTL,D,0.0666666666666666,0.0,0.5454545454545455,0.4545454545454545,0.0120689302268082,0.0,1.0,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6000000000000001,0.8562874251497007,0.0,0.0,0.8492597577388964,0.9770206022187004,1.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9629969676900028,0.5262995050393322
5,4665,6379,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:05:35,1,2,8,0,0,0.0,0.1666666666666666,15,0,1,2,2,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2514199731594571,53.489,12,0.1884057971014492,W,NCTL,D,0.0666666666666666,0.0714285714285714,0.4545454545454546,0.5454545454545454,0.2337729349839999,0.3075160152014398,0.8571428571428572,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6000000000000001,0.8562874251497007,0.0,0.0,0.8492597577388964,0.9770206022187004,1.0,0.0,0.9999999999999998,0.0,1.0,1.0,1.1126129864270866,0.6922086593933205
6,4666,6380,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:06:30,1,2,9,0,0,0.0,0.1666666666666666,15,15,1,1,2,3,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208542883867207,28.995,10,0.7826086956521741,BC,NCTL,ND,0.0666666666666666,0.1428571428571428,0.3636363636363636,0.6363636363636364,0.12668110817828,0.3394222708902675,0.8571428571428572,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6000000000000001,0.8562874251497007,0.0,0.0,0.8492597577388964,0.9770206022187004,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,0.8941423164344038,0.4945479735012452
7,4667,6381,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:07:13,1,2,10,0,0,0.0,0.1666666666666666,15,30,1,2,1,4,6,0,0,0,0,1,0,F,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2705540267592077,37.596,11,0.289855072463768,BW,NCTL,ND,0.1333333333333333,0.1428571428571428,0.4545454545454546,0.5454545454545454,0.4041044722343015,0.1998465495382962,0.8571428571428572,0.1251664447403461,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.6000000000000001,0.8562874251497007,0.0204081632653061,1.0,0.8492597577388964,0.9770206022187004,1.0,0.0,0.9999999999999998,0.0,0.75,0.75,1.0776908054384917,0.6118053185917319
8,4668,6383,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:08:34,1,2,12,0,0,0.0,0.1666666666666666,40,30,1,1,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304463934715124,7.35,1,0.855072463768116,W,NCTL,D,0.2,0.1428571428571428,0.5454545454545455,0.4545454545454545,0.0650744117874172,0.0213864104905988,0.8571428571428572,0.1251664447403461,0.0,0.0,0.5,0.0416666666666666,0.0,0.7894736842105263,0.4,0.8562874251497007,0.0204081632653061,1.0,0.8492597577388964,0.9770206022187004,1.0,0.0,0.9999999999999998,0.0,1.0,1.0,1.1744409501512898,0.6685536029833158
9,4669,6384,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:09:11,1,3,13,0,0,0.1666666666666666,0.1666666666666666,0,0,2,2,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1774525884856782,18.752,5,0.2463768115942028,BC,NCTL,ND,0.0,0.0714285714285714,0.3636363636363636,0.6363636363636364,0.0,0.0892392080756236,1.0,0.1251664447403461,0.0,0.0,0.5,0.0416666666666666,0.0,0.7894736842105263,0.4,0.8562874251497007,0.0204081632653061,1.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.9999999999999998,0.0,0.25,0.25,0.3439893194378531,1.0697984129607176
10,4670,6387,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:11:50,1,3,16,0,0,0.1666666666666666,0.1666666666666666,15,30,2,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283791294446176,3.732,1,0.7536231884057971,W,CTL,D,0.0,0.1428571428571428,0.2727272727272727,0.7272727272727273,0.0,0.0163403973237412,1.0,0.1251664447403461,0.0,0.0,0.5,0.0416666666666666,0.0,0.7894736842105263,0.4,0.8562874251497007,0.0204081632653061,1.0,0.8492597577388964,0.9770206022187004,0.0,1.0,0.0,0.9999999999999998,1.0,1.0,0.4308610896113636,1.158873540878059
11,4671,6388,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:12:12,1,3,17,0,0,0.1666666666666666,0.1666666666666666,15,40,2,1,2,7,10,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.3540104922121757,47.626,13,0.7536231884057971,C,CTL,ND,0.0,0.2142857142857142,0.1818181818181818,0.8181818181818181,0.0,0.1548142388344939,1.0,0.1251664447403461,0.0,0.0,0.5,0.0416666666666666,0.0,0.7894736842105263,0.6000000000000001,0.8592814371257486,0.0204081632653061,1.0,0.8506056527590848,0.9778481012658228,0.0,1.0,0.0,0.9999999999999998,0.0,0.0,0.1314482996488782,0.8931725789353075
12,4672,6389,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:14:12,1,4,18,0,0,0.1666666666666666,0.3333333333333333,0,0,1,2,1,8,10,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1298309588038335,25.659,7,0.3913043478260869,BC,NCTL,D,0.0666666666666666,0.0,0.5454545454545455,0.4545454545454545,0.0843613144539486,0.0,1.0,0.1251664447403461,0.0,0.0,0.5,0.0416666666666666,0.0,0.7894736842105263,0.6000000000000001,0.8592814371257486,0.0204081632653061,1.0,0.8519515477792732,0.976303317535545,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,0.989029949459811,0.4924035002121373
13,4673,6390,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,00:14:50,1,4,19,0,0,0.1666666666666666,0.3333333333333333,15,0,1,1,1,9,10,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024902059130529,8.93,3,0.7826086956521741,BC,NCTL,ND,0.1333333333333333,0.0,0.6363636363636365,0.3636363636363636,0.0178373953728076,0.0,1.0,0.1251664447403461,0.0,0.0,0.0,0.0416666666666666,0.0,0.7894736842105263,0.6000000000000001,0.8592814371257486,0.0204081632653061,1.0,0.8519515477792732,0.976303317535545,1.0,0.0,0.9999999999999998,0.0,0.25,0.25,0.9663603182091381,0.4990119778408127
